Method,K,gamma,time_cost
Original,2,10,15.06730604171753
Original,2,20,15.874863862991333
Original,2,30,15.817261934280396
Original,2,40,15.472744226455688
Original,2,50,15.44835901260376
Original,2,60,15.613294124603271
Original,2,70,15.378828048706055
Original,2,80,15.597377061843872
Original,2,90,15.484665870666504
Original,2,100,15.778250217437744
Original,2,110,15.635925054550171
Original,2,120,14.067127227783203
Original,2,130,15.182251930236816
Original,2,140,14.262195110321045
Original,2,150,15.27564525604248
Original,2,160,15.437922954559326
Original,2,170,15.559037208557129
Original,2,180,15.82988691329956
Original,2,190,16.08968496322632
Original,2,200,15.823454856872559
Original,2,210,15.67982268333435
Original,2,220,15.841796159744263
Original,2,230,15.621003866195679
Original,2,240,15.71734619140625
Original,2,250,15.66377305984497
Original,2,260,15.573976993560791
Original,2,270,15.48820686340332
Original,2,280,15.539162874221802
Original,2,290,15.752472877502441
Original,2,300,15.283937931060791
DataCenter,2,10,15.32180380821228
DataCenter,2,20,15.48253583908081
DataCenter,2,30,15.535989999771118
DataCenter,2,40,15.517032384872437
DataCenter,2,50,15.534466028213501
DataCenter,2,60,15.683896780014038
DataCenter,2,70,15.337297916412354
DataCenter,2,80,15.594303131103516
DataCenter,2,90,14.298264980316162
DataCenter,2,100,15.31140923500061
DataCenter,2,110,15.417211055755615
DataCenter,2,120,14.550826072692871
DataCenter,2,130,15.478189706802368
DataCenter,2,140,15.352669954299927
DataCenter,2,150,15.561917066574097
DataCenter,2,160,15.460222959518433
DataCenter,2,170,15.531193971633911
DataCenter,2,180,15.604726076126099
DataCenter,2,190,15.844611167907715
DataCenter,2,200,15.722508907318115
DataCenter,2,210,15.606615781784058
DataCenter,2,220,15.989411115646362
DataCenter,2,230,15.635792016983032
DataCenter,2,240,15.573650121688843
DataCenter,2,250,15.531346797943115
DataCenter,2,260,15.67469072341919
DataCenter,2,270,15.790315866470337
DataCenter,2,280,15.790785074234009
DataCenter,2,290,14.20144009590149
DataCenter,2,300,14.301558017730713
Random,2,10,23.841229915618896
Random,2,20,37.35605001449585
Random,2,30,26.714160203933716
Random,2,40,26.806131839752197
Random,2,50,26.86603808403015
Random,2,60,27.046042919158936
Random,2,70,26.92111897468567
Random,2,80,37.657037019729614
Random,2,90,26.805325984954834
Random,2,100,26.74606204032898
Random,2,110,24.00617480278015
Random,2,120,24.885673999786377
Random,2,130,26.502699851989746
Random,2,140,26.761948823928833
Random,2,150,24.40277934074402
Random,2,160,25.090651750564575
Random,2,170,26.445133686065674
Random,2,180,27.16501808166504
Random,2,190,26.270684003829956
Random,2,200,25.503875017166138
Random,2,210,26.090877294540405
Random,2,220,26.67331886291504
Random,2,230,27.414638996124268
Random,2,240,26.676709175109863
Random,2,250,26.667992115020752
Random,2,260,26.925148963928223
Random,2,270,26.76729702949524
Random,2,280,26.660964012145996
Random,2,290,27.027387142181396
Random,2,300,25.0986590385437
