Method,K,gamma,time_cost
Original,4,10,46.49901986122131
Original,4,20,49.68682503700256
Original,4,30,48.03425168991089
Original,4,40,50.13776111602783
Original,4,50,45.78596496582031
Original,4,60,48.46660113334656
Original,4,70,45.86559224128723
Original,4,80,48.23534607887268
Original,4,90,49.928279638290405
Original,4,100,49.61081409454346
Original,4,110,48.776283979415894
Original,4,120,48.85578441619873
Original,4,130,49.76707196235657
Original,4,140,44.661810874938965
Original,4,150,50.117177963256836
Original,4,160,45.41371703147888
Original,4,170,49.05599403381348
Original,4,180,47.54886603355408
Original,4,190,26.98227286338806
Original,4,200,26.804216146469116
Original,4,210,24.29767918586731
Original,4,220,26.431390047073364
Original,4,230,24.44238519668579
Original,4,240,26.764551162719727
Original,4,250,27.423877239227295
Original,4,260,27.28353500366211
Original,4,270,27.136960744857788
Original,4,280,24.525208234786987
Original,4,290,26.790875911712646
Original,4,300,27.232769012451172
DataCenter,4,10,50.85041093826294
DataCenter,4,20,47.328742027282715
DataCenter,4,30,49.58535408973694
DataCenter,4,40,49.23280119895935
DataCenter,4,50,46.20591378211975
DataCenter,4,60,44.83288884162903
DataCenter,4,70,46.743350982666016
DataCenter,4,80,48.17622995376587
DataCenter,4,90,24.35163903236389
DataCenter,4,100,26.117655992507935
DataCenter,4,110,26.889944076538086
DataCenter,4,120,27.368412256240845
DataCenter,4,130,26.89719009399414
DataCenter,4,140,26.95692491531372
DataCenter,4,150,27.053844928741455
DataCenter,4,160,27.17491888999939
DataCenter,4,170,27.227996826171875
DataCenter,4,180,27.054917812347412
DataCenter,4,190,26.895328998565674
DataCenter,4,200,26.88206171989441
DataCenter,4,210,26.843389987945557
DataCenter,4,220,27.0887451171875
DataCenter,4,230,26.124158143997192
DataCenter,4,240,26.916486978530884
DataCenter,4,250,27.249985933303833
DataCenter,4,260,27.311548948287964
DataCenter,4,270,25.521648168563843
DataCenter,4,280,26.819588899612427
DataCenter,4,290,27.305336952209473
DataCenter,4,300,25.51640820503235
Random,4,10,47.78615999221802
Random,4,20,71.00825476646423
Random,4,30,71.18717122077942
Random,4,40,62.53905200958252
Random,4,50,66.03751277923584
Random,4,60,72.50558280944824
Random,4,70,71.47320675849915
Random,4,80,65.14745688438416
Random,4,90,73.11719489097595
Random,4,100,70.12655425071716
Random,4,110,72.41665506362915
Random,4,120,67.43520617485046
Random,4,130,68.4866201877594
Random,4,140,73.17925500869751
Random,4,150,67.656170129776
Random,4,160,71.90571904182434
Random,4,170,71.46708679199219
Random,4,180,69.08760380744934
Random,4,190,73.13913106918335
Random,4,200,73.12016606330872
Random,4,210,71.37056374549866
Random,4,220,66.7755172252655
Random,4,230,71.96390414237976
Random,4,240,72.18814015388489
Random,4,250,69.58542680740356
Random,4,260,71.43387007713318
Random,4,270,73.4988911151886
Random,4,280,73.17103409767151
Random,4,290,72.18380093574524
Random,4,300,70.35227298736572
