Method,K,gamma,time_cost
Original,3,10,19.256909132003784
Original,3,20,21.138441801071167
Original,3,30,21.23900318145752
Original,3,40,18.916448831558228
Original,3,50,21.062875270843506
Original,3,60,20.956743240356445
Original,3,70,20.845849752426147
Original,3,80,20.877076864242554
Original,3,90,21.32336401939392
Original,3,100,21.08992910385132
Original,3,110,21.159999132156372
Original,3,120,20.73737120628357
Original,3,130,21.013521909713745
Original,3,140,21.63149118423462
Original,3,150,21.136201858520508
Original,3,160,21.222360134124756
Original,3,170,21.341397047042847
Original,3,180,21.516568183898926
Original,3,190,21.53981375694275
Original,3,200,21.417314767837524
Original,3,210,21.775880098342896
Original,3,220,21.688425064086914
Original,3,230,21.490232944488525
Original,3,240,21.65034008026123
Original,3,250,21.778772830963135
Original,3,260,21.282663106918335
Original,3,270,21.707478046417236
Original,3,280,21.631580114364624
Original,3,290,21.277376651763916
Original,3,300,21.751113891601562
DataCenter,3,10,19.31733202934265
DataCenter,3,20,21.023399829864502
DataCenter,3,30,21.08878993988037
DataCenter,3,40,21.438881158828735
DataCenter,3,50,21.521067142486572
DataCenter,3,60,21.34101676940918
DataCenter,3,70,21.34670901298523
DataCenter,3,80,21.51687979698181
DataCenter,3,90,21.107845783233643
DataCenter,3,100,21.224342823028564
DataCenter,3,110,21.712539196014404
DataCenter,3,120,21.50820016860962
DataCenter,3,130,21.253546953201294
DataCenter,3,140,21.528751850128174
DataCenter,3,150,21.45763611793518
DataCenter,3,160,21.314337015151978
DataCenter,3,170,21.88278293609619
DataCenter,3,180,21.79839515686035
DataCenter,3,190,19.61158299446106
DataCenter,3,200,21.549901962280273
DataCenter,3,210,21.24523377418518
DataCenter,3,220,21.700099229812622
DataCenter,3,230,21.481359004974365
DataCenter,3,240,21.289965629577637
DataCenter,3,250,21.27570605278015
DataCenter,3,260,21.60606813430786
DataCenter,3,270,21.70076632499695
DataCenter,3,280,21.63933300971985
DataCenter,3,290,21.391398191452026
DataCenter,3,300,21.302428245544434
Random,3,10,38.08518862724304
Random,3,20,33.228429079055786
Random,3,30,37.702614068984985
Random,3,40,38.46957588195801
Random,3,50,38.627869844436646
Random,3,60,55.377114057540894
Random,3,70,53.60153770446777
Random,3,80,37.145243883132935
Random,3,90,55.344114780426025
Random,3,100,54.44468092918396
Random,3,110,53.30182695388794
Random,3,120,54.622689962387085
Random,3,130,54.656476974487305
Random,3,140,50.29414200782776
Random,3,150,48.625422954559326
Random,3,160,48.08085298538208
Random,3,170,55.21226382255554
Random,3,180,52.352797985076904
Random,3,190,53.870253801345825
Random,3,200,55.74127388000488
Random,3,210,55.567771911621094
Random,3,220,49.01370406150818
Random,3,230,54.74928903579712
Random,3,240,55.8679621219635
Random,3,250,56.15312099456787
Random,3,260,55.77256917953491
Random,3,270,54.00431203842163
Random,3,280,56.76660776138306
Random,3,290,55.36328196525574
Random,3,300,56.435797929763794
