Method,K,gamma,time_cost
Original,3,10,34.766392946243286
Original,3,20,53.72481679916382
Original,3,30,57.65146279335022
Original,3,40,53.93361687660217
Original,3,50,52.26145100593567
Original,3,60,50.872878074645996
Original,3,70,54.77236986160278
Original,3,80,49.062784910202026
Original,3,90,55.21475291252136
Original,3,100,51.21584606170654
Original,3,110,51.35673999786377
Original,3,120,54.64746975898743
Original,3,130,54.44867706298828
Original,3,140,54.36031484603882
Original,3,150,49.416719913482666
Original,3,160,51.89459204673767
Original,3,170,55.00929498672485
Original,3,180,55.9383659362793
Original,3,190,36.04957413673401
Original,3,200,37.49630308151245
Original,3,210,38.69853901863098
Original,3,220,33.78383827209473
Original,3,230,33.737061738967896
Original,3,240,37.15531015396118
Original,3,250,37.445656061172485
Original,3,260,19.129409074783325
Original,3,270,21.183701038360596
Original,3,280,21.31010103225708
Original,3,290,21.471199989318848
Original,3,300,21.375809907913208
DataCenter,3,10,38.5855507850647
DataCenter,3,20,50.85427379608154
DataCenter,3,30,48.02538299560547
DataCenter,3,40,54.58202791213989
DataCenter,3,50,52.246119022369385
DataCenter,3,60,54.29252004623413
DataCenter,3,70,54.70111107826233
DataCenter,3,80,55.28327488899231
DataCenter,3,90,54.71547603607178
DataCenter,3,100,55.77963590621948
DataCenter,3,110,54.45194602012634
DataCenter,3,120,55.837822914123535
DataCenter,3,130,54.00678992271423
DataCenter,3,140,54.934134006500244
DataCenter,3,150,54.888142824172974
DataCenter,3,160,54.23564386367798
DataCenter,3,170,54.007227182388306
DataCenter,3,180,54.66965889930725
DataCenter,3,190,38.77235794067383
DataCenter,3,200,38.538390159606934
DataCenter,3,210,33.87753438949585
DataCenter,3,220,38.341696977615356
DataCenter,3,230,38.657955169677734
DataCenter,3,240,38.53547501564026
DataCenter,3,250,37.92552089691162
DataCenter,3,260,21.24763798713684
DataCenter,3,270,21.13362979888916
DataCenter,3,280,21.05493187904358
DataCenter,3,290,21.172098875045776
DataCenter,3,300,19.31606101989746
Random,3,10,47.793543100357056
Random,3,20,36.75172305107117
Random,3,30,49.93920707702637
Random,3,40,54.18926382064819
Random,3,50,54.86395597457886
Random,3,60,54.81106400489807
Random,3,70,54.098186016082764
Random,3,80,54.059678077697754
Random,3,90,53.868284940719604
Random,3,100,53.98197793960571
Random,3,110,54.24083876609802
Random,3,120,48.94486594200134
Random,3,130,48.32844424247742
Random,3,140,54.079633951187134
Random,3,150,55.09471607208252
Random,3,160,50.849488258361816
Random,3,170,54.48242115974426
Random,3,180,56.08304786682129
Random,3,190,49.87561392784119
Random,3,200,54.04020309448242
Random,3,210,56.282371044158936
Random,3,220,54.74890089035034
Random,3,230,54.45966100692749
Random,3,240,55.076751708984375
Random,3,250,55.22460722923279
Random,3,260,54.91425704956055
Random,3,270,55.02442216873169
Random,3,280,56.098864793777466
Random,3,290,55.34254312515259
Random,3,300,54.959973096847534
