Method,K,gamma,time_cost
ClusterMedian,3,5,5.861536026000977
ClusterMedian,3,7,5.864880084991455
ClusterMedian,3,9,5.668814182281494
ClusterMedian,3,11,5.837238073348999
ClusterMedian,3,13,5.4837586879730225
ClusterMedian,3,15,5.804920196533203
ClusterMedian,3,17,5.616935729980469
ClusterMedian,3,19,5.736293792724609
ClusterMedian,3,21,5.355967044830322
ClusterMedian,3,23,5.160346031188965
ClusterMedian,3,25,5.164423227310181
ClusterMedian,3,27,5.734486818313599
ClusterMedian,3,29,5.516180992126465
ClusterMedian,3,31,5.185827016830444
ClusterMedian,3,33,5.24439001083374
ClusterMedian,3,35,5.214448928833008
ClusterMedian,3,37,5.2541749477386475
ClusterMedian,3,39,5.214954137802124
ClusterMedian,3,41,5.466089248657227
ClusterMedian,3,43,5.53462290763855
ClusterMedian,3,45,5.589931011199951
ClusterMedian,3,47,5.641894817352295
ClusterMedian,3,49,5.34766697883606
ClusterMedian,3,51,5.572450160980225
ClusterMedian,3,53,5.563240051269531
ClusterMedian,3,55,5.569375276565552
ClusterMedian,3,57,5.21858286857605
ClusterMedian,3,59,5.670125961303711
ClusterMedian,3,61,6.054751873016357
ClusterMedian,3,63,5.365962028503418
ClusterMedian,3,65,5.26318621635437
ClusterMedian,3,67,5.152554988861084
ClusterMedian,3,69,5.269884824752808
ClusterMedian,3,71,5.248977899551392
ClusterMedian,3,73,5.353896856307983
ClusterMedian,3,75,5.244887828826904
ClusterMedian,3,77,5.248002052307129
ClusterMedian,3,79,5.223806381225586
ClusterMedian,3,81,5.7762510776519775
ClusterMedian,3,83,5.973599910736084
ClusterMedian,3,85,5.963947057723999
ClusterMedian,3,87,5.850752592086792
ClusterMedian,3,89,5.328641176223755
ClusterMedian,3,91,5.545458793640137
ClusterMedian,3,93,6.041440010070801
ClusterMedian,3,95,5.465726852416992
ClusterMedian,3,97,5.926518201828003
ClusterMedian,3,99,5.504364013671875
ClusterMedian,3,101,5.786046266555786
ClusterMedian,3,103,5.617821931838989
ClusterMedian,3,105,5.438340902328491
ClusterMedian,3,107,5.312490940093994
ClusterMedian,3,109,5.320633172988892
ClusterMedian,3,111,5.786758899688721
ClusterMedian,3,113,5.8032801151275635
ClusterMedian,3,115,5.914279937744141
ClusterMedian,3,117,5.943883180618286
ClusterMedian,3,119,5.341740846633911
ClusterMedian,3,121,5.44942307472229
ClusterMedian,3,123,5.425040006637573
ClusterMedian,3,125,5.864066123962402
ClusterMedian,3,127,5.99394679069519
ClusterMedian,3,129,6.030111074447632
ClusterMedian,3,131,5.807353973388672
ClusterMedian,3,133,5.325510263442993
ClusterMedian,3,135,5.218590974807739
ClusterMedian,3,137,5.293116092681885
ClusterMedian,3,139,5.888952016830444
ClusterMedian,3,141,5.957201719284058
ClusterMedian,3,143,5.987759828567505
ClusterMedian,3,145,5.997024059295654
ClusterMedian,3,147,5.899095058441162
ClusterMedian,3,149,5.4861791133880615
RandomDataPoint,3,5,5.805077075958252
RandomDataPoint,3,7,5.531105041503906
RandomDataPoint,3,9,5.764371871948242
RandomDataPoint,3,11,6.026370048522949
RandomDataPoint,3,13,5.791453123092651
RandomDataPoint,3,15,5.8112688064575195
RandomDataPoint,3,17,5.244652986526489
RandomDataPoint,3,19,5.5440919399261475
RandomDataPoint,3,21,5.284972906112671
RandomDataPoint,3,23,5.2419891357421875
RandomDataPoint,3,25,5.407841205596924
RandomDataPoint,3,27,5.633780241012573
RandomDataPoint,3,29,5.615589141845703
RandomDataPoint,3,31,5.635566711425781
RandomDataPoint,3,33,5.671365022659302
RandomDataPoint,3,35,5.493483066558838
RandomDataPoint,3,37,5.3302319049835205
RandomDataPoint,3,39,5.291202068328857
RandomDataPoint,3,41,5.21894907951355
RandomDataPoint,3,43,5.243304967880249
RandomDataPoint,3,45,5.220493793487549
RandomDataPoint,3,47,5.383229970932007
RandomDataPoint,3,49,5.697879076004028
RandomDataPoint,3,51,5.637568950653076
RandomDataPoint,3,53,5.780021905899048
RandomDataPoint,3,55,5.8952860832214355
RandomDataPoint,3,57,5.891508102416992
RandomDataPoint,3,59,5.6082398891448975
RandomDataPoint,3,61,5.6234519481658936
RandomDataPoint,3,63,5.634939193725586
RandomDataPoint,3,65,5.893731117248535
RandomDataPoint,3,67,5.283047199249268
RandomDataPoint,3,69,5.736439943313599
RandomDataPoint,3,71,5.475735187530518
RandomDataPoint,3,73,5.936170816421509
RandomDataPoint,3,75,5.64640998840332
RandomDataPoint,3,77,5.362526893615723
RandomDataPoint,3,79,5.474009037017822
RandomDataPoint,3,81,5.2854979038238525
RandomDataPoint,3,83,5.250084161758423
RandomDataPoint,3,85,5.346637010574341
RandomDataPoint,3,87,5.277766227722168
RandomDataPoint,3,89,5.258011817932129
RandomDataPoint,3,91,5.233227014541626
RandomDataPoint,3,93,5.239207983016968
RandomDataPoint,3,95,5.239543914794922
RandomDataPoint,3,97,5.2433459758758545
RandomDataPoint,3,99,5.275965929031372
RandomDataPoint,3,101,5.2567832469940186
RandomDataPoint,3,103,5.294918775558472
RandomDataPoint,3,105,5.22226619720459
RandomDataPoint,3,107,5.273637294769287
RandomDataPoint,3,109,5.264394283294678
RandomDataPoint,3,111,5.326909065246582
RandomDataPoint,3,113,5.252041816711426
RandomDataPoint,3,115,5.2661638259887695
RandomDataPoint,3,117,5.662101984024048
RandomDataPoint,3,119,5.841974973678589
RandomDataPoint,3,121,5.512439012527466
RandomDataPoint,3,123,5.2892889976501465
RandomDataPoint,3,125,5.340620994567871
RandomDataPoint,3,127,5.362406253814697
RandomDataPoint,3,129,5.261128902435303
RandomDataPoint,3,131,5.272198915481567
RandomDataPoint,3,133,5.287616014480591
RandomDataPoint,3,135,5.209300994873047
RandomDataPoint,3,137,5.197253227233887
RandomDataPoint,3,139,5.220474004745483
RandomDataPoint,3,141,5.259788990020752
RandomDataPoint,3,143,5.265611886978149
RandomDataPoint,3,145,5.607361078262329
RandomDataPoint,3,147,5.5699381828308105
RandomDataPoint,3,149,5.2695229053497314
Random,3,5,5.179064989089966
Random,3,7,5.433048963546753
Random,3,9,5.336634159088135
Random,3,11,5.371149063110352
Random,3,13,6.007276773452759
Random,3,15,5.997440814971924
Random,3,17,5.942552089691162
Random,3,19,5.80876898765564
Random,3,21,6.0141870975494385
Random,3,23,5.576156854629517
