Method,K,gamma,time_cost
ClusterMedian,4,5,5.629544019699097
ClusterMedian,4,7,5.467494010925293
ClusterMedian,4,9,5.549245834350586
ClusterMedian,4,11,5.550824165344238
ClusterMedian,4,13,5.783122301101685
ClusterMedian,4,15,5.848210334777832
ClusterMedian,4,17,5.734296798706055
ClusterMedian,4,19,5.609290838241577
ClusterMedian,4,21,5.7683000564575195
ClusterMedian,4,23,5.809179067611694
ClusterMedian,4,25,5.840215682983398
ClusterMedian,4,27,5.898508071899414
ClusterMedian,4,29,5.899438142776489
ClusterMedian,4,31,5.818747282028198
ClusterMedian,4,33,5.735110759735107
ClusterMedian,4,35,5.8821539878845215
ClusterMedian,4,37,5.819164991378784
ClusterMedian,4,39,5.545290946960449
ClusterMedian,4,41,5.7883899211883545
ClusterMedian,4,43,5.786607027053833
ClusterMedian,4,45,5.8872761726379395
ClusterMedian,4,47,5.843034982681274
ClusterMedian,4,49,5.7546751499176025
ClusterMedian,4,51,5.5021021366119385
ClusterMedian,4,53,5.88870906829834
ClusterMedian,4,55,5.807949066162109
ClusterMedian,4,57,5.57193922996521
ClusterMedian,4,59,5.849455833435059
ClusterMedian,4,61,5.893617153167725
ClusterMedian,4,63,5.570966958999634
ClusterMedian,4,65,5.5345847606658936
ClusterMedian,4,67,5.600970029830933
ClusterMedian,4,69,5.886977910995483
ClusterMedian,4,71,5.786381006240845
ClusterMedian,4,73,5.8603599071502686
ClusterMedian,4,75,5.53861403465271
ClusterMedian,4,77,5.573076963424683
ClusterMedian,4,79,5.856748104095459
ClusterMedian,4,81,5.649638891220093
ClusterMedian,4,83,5.795352220535278
ClusterMedian,4,85,5.533760070800781
ClusterMedian,4,87,5.683396100997925
ClusterMedian,4,89,5.524091958999634
ClusterMedian,4,91,5.9092161655426025
ClusterMedian,4,93,5.947696208953857
ClusterMedian,4,95,6.0143890380859375
ClusterMedian,4,97,5.742415904998779
ClusterMedian,4,99,5.585521221160889
ClusterMedian,4,101,5.841394901275635
ClusterMedian,4,103,5.588027238845825
ClusterMedian,4,105,5.8596131801605225
ClusterMedian,4,107,5.873749017715454
ClusterMedian,4,109,5.682194948196411
ClusterMedian,4,111,5.474872827529907
ClusterMedian,4,113,5.635841131210327
ClusterMedian,4,115,5.997156143188477
ClusterMedian,4,117,5.653157949447632
ClusterMedian,4,119,5.873322248458862
ClusterMedian,4,121,6.0083160400390625
ClusterMedian,4,123,5.685145139694214
ClusterMedian,4,125,5.803016901016235
ClusterMedian,4,127,5.874343156814575
ClusterMedian,4,129,5.4827680587768555
