Method,K,gamma,time_cost
ClusterMedian,4,5,5.2008891105651855
ClusterMedian,4,7,5.14307713508606
ClusterMedian,4,9,5.27695894241333
ClusterMedian,4,11,5.296638011932373
ClusterMedian,4,13,5.269945859909058
ClusterMedian,4,15,5.179296970367432
ClusterMedian,4,17,5.128459930419922
ClusterMedian,4,19,5.0534679889678955
ClusterMedian,4,21,5.05650782585144
ClusterMedian,4,23,5.176715135574341
ClusterMedian,4,25,5.1405980587005615
ClusterMedian,4,27,5.180667877197266
ClusterMedian,4,29,5.178907871246338
ClusterMedian,4,31,5.20026707649231
ClusterMedian,4,33,5.205749988555908
ClusterMedian,4,35,5.55002498626709
ClusterMedian,4,37,5.617188930511475
ClusterMedian,4,39,5.565481901168823
ClusterMedian,4,41,5.811329126358032
ClusterMedian,4,43,5.7743916511535645
ClusterMedian,4,45,5.856993913650513
ClusterMedian,4,47,5.888017892837524
ClusterMedian,4,49,5.423419952392578
ClusterMedian,4,51,5.29518723487854
ClusterMedian,4,53,5.267796993255615
ClusterMedian,4,55,5.3037168979644775
ClusterMedian,4,57,5.431972026824951
ClusterMedian,4,59,5.262740850448608
ClusterMedian,4,61,5.556362867355347
ClusterMedian,4,63,5.365310192108154
ClusterMedian,4,65,5.258610010147095
ClusterMedian,4,67,5.167111158370972
ClusterMedian,4,69,5.17333984375
ClusterMedian,4,71,5.284281015396118
ClusterMedian,4,73,5.317816972732544
ClusterMedian,4,75,5.492063045501709
ClusterMedian,4,77,5.397217035293579
ClusterMedian,4,79,5.308579206466675
ClusterMedian,4,81,5.320112943649292
ClusterMedian,4,83,5.255228281021118
ClusterMedian,4,85,5.748218059539795
ClusterMedian,4,87,5.930541753768921
ClusterMedian,4,89,5.7139670848846436
ClusterMedian,4,91,5.956805229187012
ClusterMedian,4,93,6.001178026199341
ClusterMedian,4,95,5.852228879928589
ClusterMedian,4,97,5.615224123001099
ClusterMedian,4,99,5.619318723678589
ClusterMedian,4,101,5.699630975723267
ClusterMedian,4,103,5.298799991607666
ClusterMedian,4,105,5.211129903793335
ClusterMedian,4,107,5.193775177001953
ClusterMedian,4,109,5.312268018722534
ClusterMedian,4,111,5.346127033233643
ClusterMedian,4,113,5.907330751419067
ClusterMedian,4,115,5.856966257095337
ClusterMedian,4,117,5.759883880615234
ClusterMedian,4,119,5.981975078582764
ClusterMedian,4,121,5.513721942901611
ClusterMedian,4,123,5.659090995788574
ClusterMedian,4,125,5.581202030181885
ClusterMedian,4,127,5.475896120071411
ClusterMedian,4,129,5.2679150104522705
ClusterMedian,4,131,5.285055160522461
ClusterMedian,4,133,5.265430927276611
ClusterMedian,4,135,5.270668029785156
ClusterMedian,4,137,5.263446092605591
